rank,Company,Revenues,Profits
1,General Motors,24295 ,1711 
2,Exxon Mobil,14930 ,1048 
3,Ford Motor,14756 ,547 
4,General Electric,8448 ,278 
5,Intl. Business Machines,7197 ,934 
6,Chrysler,7052 ,89 
7,Mobil,6621 ,435 
8,Texaco,5868 ,770 
9,ITT Industries,5475 ,234 
10,Gulf Oil,4953 ,611 
11,AT&T Technologies,4883 ,227 
12,U.S. Steel,4754 ,217 
13,ChevronTexaco,3825 ,454 
14,LTV,3750 ,(38)
15,DuPont,3655 ,356 
16,Shell Oil,3537 ,291 
17,CBS,3509 ,150 
18,Amoco,3469 ,321 
19,General Telephone & Electronics,3262 ,237 
20,Goodyear Tire & Rubber,3215 ,158 
21,RCA,3188 ,151 
22,Esmark,3108 ,22 
23,McDonnell Douglas,3024 ,118 
24,Union Carbide,2933 ,186 
25,Bethlehem Steel,2928 ,157 
26,Boeing,2835 ,10 
27,Eastman Kodak,2747 ,401 
28,Procter & Gamble,2708 ,187 
29,Atlantic Richfield,2691 ,227 
30,Rockwell Automation,2667 ,65 
31,Navistar International,2653 ,64 
32,Kraft,2581 ,76 
33,General Dynamics,2509 ,3 
34,Tenneco Automotive,2451 ,166 
35,Conoco,2396 ,157 
36,United Technologies,2350 ,51 
37,Firestone Tire & Rubber,2279 ,117 
38,ConocoPhillips,2202 ,134 
39,Litton Industries,2177 ,82 
40,Armour,2153 ,18 
41,Lockheed Martin,2075 ,(33)
42,Caterpillar,2002 ,143 
43,Monsanto,1939 ,116 
44,Occidental Petroleum,1938 ,175 
45,Singer,1902 ,78 
46,General Foods,1894 ,133 
47,Sunoco,1838 ,152 
48,Rapid-American,1827 ,21 
49,Dow Chemical,1797 ,149 
50,Sealed Air,1792 ,51 
51,Continental Group,1780 ,90 
52,International Paper,1777 ,116 
53,Burlington Industries Equity,1765 ,78 
54,Borden Chemical,1740 ,30 
55,OfficeMax,1726 ,84 
56,American Can,1724 ,65 
57,Textron,1682 ,76 
58,Unocal,1660 ,153 
59,3M,1613 ,179 
60,Sperry,1607 ,77 
61,TRW,1588 ,78 
62,Nabisco Group Holdings,1575 ,172 
63,ARMCO,1566 ,96 
64,Gulf & Western Industries,1564 ,72 
65,Citgo Petroleum,1562 ,133 
66,Uniroyal,1554 ,47 
67,Alcoa,1545 ,122 
68,Sara Lee,1512 ,50 
69,Republic Steel,1500 ,79 
70,Chiquita Brands Intl.,1496 ,26 
71,Xerox,1483 ,161 
72,Bendix,1468 ,56 
73,Champion International,1456 ,64 
74,Signal Companies,1432 ,52 
75,Honeywell,1426 ,63 
76,Anaconda,1411 ,99 
77,FMC,1409 ,67 
78,Ralston Purina,1386 ,47 
79,Coca-Cola,1365 ,121 
80,Fortune Brands,1361 ,99 
81,Honeywell Intl.,1316 ,68 
82,American Standard,1307 ,39 
83,Beatrice,1303 ,44 
84,Teledyne,1295 ,60 
85,Owens-Illinois,1294 ,70 
86,Raytheon,1285 ,35 
87,NCR,1255 ,44 
88,Celanese,1250 ,80 
89,Weyerhaeuser,1239 ,131 
90,Goodrich,1229 ,38 
91,National Intergroup,1225 ,78 
92,Bestfoods,1218 ,55 
93,Ryerson Tull,1216 ,61 
94,Wyeth,1193 ,123 
95,Genesco,1186 ,30 
96,Grumman,1180 ,22 
97,BP America,1160 ,52 
98,Georgia-Pacific,1160 ,92 
99,Olin,1157 ,50 
100,Whirlpool,1154 ,46 
